account_id,created_at,user_name,email,phone_number,ip_address,device_id,account_status,risk_score,kyc_status
ACC_000001,2026-06-29T12:00:00+00:00,Allison Hill,user_38f7f2@proton.me,+1-555-125-5506,185.220.101.38,dev_bot_selenium_v4_a119a096,flagged,0.89,unverified
ACC_000002,2026-06-29T12:05:00+00:00,Noah Rhodes,user_2c4388@proton.me,+1-555-564-1053,185.220.101.50,dev_bot_selenium_v4_58fd4a84,flagged,0.89,unverified
ACC_000003,2026-06-29T12:10:00+00:00,Angie Henderson,user_6f0810@proton.me,+1-555-903-8454,185.220.101.210,dev_bot_selenium_v4_43787303,flagged,0.89,unverified
ACC_000004,2026-06-29T12:15:00+00:00,Daniel Wagner,user_22b827@proton.me,+1-555-798-5088,185.220.101.63,dev_bot_selenium_v4_a119a096,flagged,0.89,unverified
ACC_000005,2026-06-29T12:20:00+00:00,Cristian Santos,user_33feda@proton.me,+1-555-350-8784,185.220.101.21,dev_bot_selenium_v4_58fd4a84,flagged,0.89,unverified
ACC_000006,2026-06-29T12:25:00+00:00,Connie Lawrence,user_821637@proton.me,+1-555-170-1659,185.220.101.176,dev_bot_selenium_v4_43787303,flagged,0.89,unverified
ACC_000007,2026-06-29T12:30:00+00:00,Abigail Shaffer,user_0b75cb@proton.me,+1-555-806-4033,185.220.101.205,dev_bot_selenium_v4_a119a096,flagged,0.89,unverified
ACC_000008,2026-06-29T12:35:00+00:00,Gina Moore,user_f28cee@proton.me,+1-555-141-3870,185.220.101.157,dev_bot_selenium_v4_58fd4a84,flagged,0.89,unverified
ACC_000009,2026-06-29T12:40:00+00:00,Gabrielle Davis,user_2be9ab@proton.me,+1-555-990-2644,185.220.101.94,dev_bot_selenium_v4_43787303,flagged,0.89,unverified
ACC_000010,2026-06-29T12:45:00+00:00,Ryan Munoz,user_5a9d39@proton.me,+1-555-525-3877,185.220.101.201,dev_bot_selenium_v4_a119a096,flagged,0.89,unverified
ACC_000011,2026-06-29T12:50:00+00:00,Monica Herrera,user_5eb116@proton.me,+1-555-116-3854,185.220.101.92,dev_bot_selenium_v4_58fd4a84,flagged,0.89,unverified
ACC_000012,2026-06-29T12:55:00+00:00,Jamie Arnold,user_5af8af@proton.me,+1-555-285-3347,185.220.101.11,dev_bot_selenium_v4_43787303,flagged,0.89,unverified
ACC_000013,2026-07-24T12:00:00+00:00,TestUser 1,autogen.tester.100@mailhost.xyz,+1-555-0100,194.26.160.83,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000014,2026-07-24T12:08:00+00:00,TestUser 2,autogen.tester.101@mailhost.xyz,+1-555-0101,194.26.80.248,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000015,2026-07-24T12:16:00+00:00,TestUser 3,autogen.tester.102@mailhost.xyz,+1-555-0102,194.26.200.98,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000016,2026-07-24T12:24:00+00:00,TestUser 4,autogen.tester.103@mailhost.xyz,+1-555-0103,194.26.153.138,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000017,2026-07-24T12:32:00+00:00,TestUser 5,autogen.tester.104@mailhost.xyz,+1-555-0104,194.26.205.95,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000018,2026-07-24T12:40:00+00:00,TestUser 6,autogen.tester.105@mailhost.xyz,+1-555-0105,194.26.30.7,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000019,2026-07-24T12:48:00+00:00,TestUser 7,autogen.tester.106@mailhost.xyz,+1-555-0106,194.26.248.34,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000020,2026-07-24T12:56:00+00:00,TestUser 8,autogen.tester.107@mailhost.xyz,+1-555-0107,194.26.195.95,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000021,2026-07-24T13:04:00+00:00,TestUser 9,autogen.tester.108@mailhost.xyz,+1-555-0108,194.26.129.11,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000022,2026-07-24T13:12:00+00:00,TestUser 10,autogen.tester.109@mailhost.xyz,+1-555-0109,194.26.234.137,dev_nox_emu_994a7b1c,suspended,0.94,unverified
ACC_000023,2026-07-10T12:00:00+00:00,Lisa Hensley,alpha.card.0@tutanota.com,+1-555-8800,45.142.138.239,dev_fingerprint_spoof_0,flagged,0.88,unverified
ACC_000024,2026-07-10T15:00:00+00:00,Michele Williams,alpha.card.1@tutanota.com,+1-555-8801,45.142.43.141,dev_fingerprint_spoof_1,flagged,0.88,unverified
ACC_000025,2026-07-10T18:00:00+00:00,Dylan Miller,alpha.card.2@tutanota.com,+1-555-8802,45.142.145.42,dev_fingerprint_spoof_2,flagged,0.88,unverified
ACC_000026,2026-07-10T21:00:00+00:00,Brian Ramirez,alpha.card.3@tutanota.com,+1-555-8803,45.142.179.143,dev_fingerprint_spoof_3,flagged,0.88,unverified
ACC_000027,2026-07-11T00:00:00+00:00,Holly Wood,alpha.card.4@tutanota.com,+1-555-8804,45.142.23.78,dev_fingerprint_spoof_4,flagged,0.88,unverified
