instrument_id,account_id,instrument_type,card_fingerprint,card_bin,card_last4,card_network,issuer_bank,country,is_prepaid,added_at
INST_000001,ACC_000001,credit_card,fp_card_59aa0c1c9c71a724,525500,2679,MASTERCARD,TD Bank,US,False,2026-06-29T12:04:00+00:00
INST_000002,ACC_000001,credit_card,fp_card_64e8e14baa50def4,340000,5333,AMEX,Truist,US,False,2026-06-29T12:02:00+00:00
INST_000003,ACC_000001,credit_card,fp_card_fbbcc165bd6b8f0a,491622,3803,VISA,Citibank,US,False,2026-06-29T12:05:00+00:00
INST_000004,ACC_000001,credit_card,fp_card_0e737e83cf152664,375987,7543,AMEX,Wells Fargo,US,False,2026-06-29T12:09:00+00:00
INST_000005,ACC_000002,credit_card,fp_card_b84fc057bad1c3e4,535310,2743,MASTERCARD,Capital One,US,False,2026-06-29T12:10:00+00:00
INST_000006,ACC_000002,credit_card,fp_card_6c0ebbefcc85b32f,644000,3705,DISCOVER,Chime Neobank,US,False,2026-06-29T12:08:00+00:00
INST_000007,ACC_000002,credit_card,fp_card_6548b0dc22efa7cb,378282,9423,AMEX,Truist,US,False,2026-06-29T12:06:00+00:00
INST_000008,ACC_000002,credit_card,fp_card_f3a06f602fe28489,535310,8350,MASTERCARD,Wells Fargo,US,False,2026-06-29T12:09:00+00:00
INST_000009,ACC_000003,credit_card,fp_card_91267aae0bb8fdf3,644000,8973,DISCOVER,Capital One,US,False,2026-06-29T12:15:00+00:00
INST_000010,ACC_000003,credit_card,fp_card_7162f9650ab6e6e4,491622,2343,VISA,Chime Neobank,US,False,2026-06-29T12:20:00+00:00
INST_000011,ACC_000003,credit_card,fp_card_098efa4ee997e45b,542418,5669,MASTERCARD,TD Bank,US,False,2026-06-29T12:12:00+00:00
INST_000012,ACC_000003,credit_card,fp_card_95d2f9b64b30af46,411111,7939,VISA,JPMorgan Chase,US,False,2026-06-29T12:15:00+00:00
INST_000013,ACC_000004,credit_card,fp_card_79e22e840a04af74,375987,3532,AMEX,Citibank,US,False,2026-06-29T12:17:00+00:00
INST_000014,ACC_000004,credit_card,fp_card_fafeba98c8e15fa3,550000,6378,MASTERCARD,Bank of America,US,False,2026-06-29T12:16:00+00:00
INST_000015,ACC_000004,credit_card,fp_card_779e7c53f9b5e324,378282,8144,AMEX,TD Bank,US,False,2026-06-29T12:19:00+00:00
INST_000016,ACC_000004,credit_card,fp_card_561955614f00a7ac,375987,9977,AMEX,Capital One,US,False,2026-06-29T12:18:00+00:00
INST_000017,ACC_000005,credit_card,fp_card_c2b18ff8d54b56f6,453201,7790,VISA,Chime Neobank,US,False,2026-06-29T12:30:00+00:00
INST_000018,ACC_000005,credit_card,fp_card_324db2525637fe0b,644000,8305,DISCOVER,Truist,US,False,2026-06-29T12:29:00+00:00
INST_000019,ACC_000005,credit_card,fp_card_a532fb457462e4ae,650000,2020,DISCOVER,PNC Bank,US,False,2026-06-29T12:29:00+00:00
INST_000020,ACC_000005,credit_card,fp_card_b222c22599a9a907,601100,9751,DISCOVER,PNC Bank,US,False,2026-06-29T12:23:00+00:00
INST_000021,ACC_000006,credit_card,fp_card_a28475bb80642b41,525500,1333,MASTERCARD,Citibank,US,False,2026-06-29T12:26:00+00:00
INST_000022,ACC_000006,credit_card,fp_card_9d5c44e3d3868a48,510510,5941,MASTERCARD,Chime Neobank,US,False,2026-06-29T12:27:00+00:00
INST_000023,ACC_000006,credit_card,fp_card_e6cd75f21c00ab5c,644000,5397,DISCOVER,Citibank,US,False,2026-06-29T12:33:00+00:00
INST_000024,ACC_000006,credit_card,fp_card_d7cbd3d116fcc58d,644000,4937,DISCOVER,Truist,US,False,2026-06-29T12:32:00+00:00
INST_000025,ACC_000007,credit_card,fp_card_904bd35dd6c0c30b,550000,5530,MASTERCARD,TD Bank,US,False,2026-06-29T12:34:00+00:00
