payout_destination_id,account_id,destination_type,destination_hash,routing_or_bank_code,holder_name,status,created_at
DEST_000001,ACC_000062,bank_account,dest_hash_2b668609d601dcff,041240803,Marcus Recruiter,active,2026-07-09T12:00:00+00:00
DEST_000002,ACC_000092,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-26T13:30:00+00:00
DEST_000003,ACC_000093,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-26T17:30:00+00:00
DEST_000004,ACC_000094,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-26T21:30:00+00:00
DEST_000005,ACC_000095,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-27T01:30:00+00:00
DEST_000006,ACC_000096,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-27T05:30:00+00:00
DEST_000007,ACC_000097,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-27T09:30:00+00:00
DEST_000008,ACC_000098,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-27T13:30:00+00:00
DEST_000009,ACC_000099,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-27T17:30:00+00:00
DEST_000010,ACC_000100,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-27T21:30:00+00:00
DEST_000011,ACC_000101,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-28T01:30:00+00:00
DEST_000012,ACC_000102,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-28T05:30:00+00:00
DEST_000013,ACC_000103,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-28T09:30:00+00:00
DEST_000014,ACC_000104,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-28T13:30:00+00:00
DEST_000015,ACC_000105,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-28T17:30:00+00:00
DEST_000016,ACC_000106,crypto_wallet,dest_hash_crypto_consolidator_f704da52aca4,021000021,Nexus Holdings LLC,active,2026-06-28T21:30:00+00:00
DEST_000017,ACC_000107,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-25T12:10:00+00:00
DEST_000018,ACC_000108,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-25T15:10:00+00:00
DEST_000019,ACC_000109,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-25T18:10:00+00:00
DEST_000020,ACC_000110,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-25T21:10:00+00:00
DEST_000021,ACC_000111,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-26T00:10:00+00:00
DEST_000022,ACC_000112,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-26T03:10:00+00:00
DEST_000023,ACC_000113,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-26T06:10:00+00:00
DEST_000024,ACC_000114,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-26T09:10:00+00:00
DEST_000025,ACC_000115,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-26T12:10:00+00:00
DEST_000026,ACC_000116,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-26T15:10:00+00:00
DEST_000027,ACC_000117,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-26T18:10:00+00:00
DEST_000028,ACC_000118,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-26T21:10:00+00:00
DEST_000029,ACC_000119,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-27T00:10:00+00:00
DEST_000030,ACC_000120,bank_account,dest_hash_wire_mule_136280cade16,071000288,Apex Liquidity Services,active,2026-07-27T03:10:00+00:00
DEST_000031,ACC_000131,crypto_wallet,dest_hash_exit_alpha_d90b856aaf,052065724,Global Trade Clearing,active,2026-05-30T12:00:00+00:00
DEST_000032,ACC_000132,crypto_wallet,dest_hash_exit_beta_46891293f0,087346846,Global Trade Clearing,active,2026-05-30T12:00:00+00:00
DEST_000033,ACC_000133,crypto_wallet,dest_hash_exit_alpha_d90b856aaf,064142556,Global Trade Clearing,active,2026-05-30T12:00:00+00:00
DEST_000034,ACC_000134,crypto_wallet,dest_hash_exit_beta_46891293f0,060076822,Global Trade Clearing,active,2026-05-30T12:00:00+00:00
DEST_000035,ACC_000135,crypto_wallet,dest_hash_exit_alpha_d90b856aaf,040368869,Global Trade Clearing,active,2026-05-30T12:00:00+00:00
DEST_000036,ACC_000172,bank_account,dest_hash_apex_property_mgmt_c4a11b3a02,021000021,Apex Property Management Escrow,active,2026-06-06T01:21:21+00:00
DEST_000037,ACC_000173,bank_account,dest_hash_apex_property_mgmt_c4a11b3a02,021000021,Apex Property Management Escrow,active,2026-06-30T06:30:10+00:00
DEST_000038,ACC_000174,bank_account,dest_hash_apex_property_mgmt_c4a11b3a02,021000021,Apex Property Management Escrow,active,2026-06-29T10:31:54+00:00
DEST_000039,ACC_000175,bank_account,dest_hash_apex_property_mgmt_c4a11b3a02,021000021,Apex Property Management Escrow,active,2026-06-23T02:34:27+00:00
DEST_000040,ACC_000176,bank_account,dest_hash_apex_property_mgmt_c4a11b3a02,021000021,Apex Property Management Escrow,active,2026-06-30T10:47:22+00:00
DEST_000041,ACC_000177,bank_account,dest_hash_apex_property_mgmt_c4a11b3a02,021000021,Apex Property Management Escrow,active,2026-06-05T23:31:22+00:00
DEST_000042,ACC_000178,bank_account,dest_hash_apex_property_mgmt_c4a11b3a02,021000021,Apex Property Management Escrow,active,2026-06-03T22:37:56+00:00
